TotalClaimsCost,NumberOfClaims,OverSpeed,IdleRatio,GpsLostCount,TelematicsOffCount,AverageNmrStopsPerDay,AverageDistPerStop,EmergencyBraking,NormalBraking,HarshBraking,dangerousTimes,DangerousAreas,CriticalBraking,CornerSpeeding
0.0,0.0,0.0,0.0,0.0,0.1764705882352941,0.0,0.0,0.0,0.00030485945978903724,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.33682373472038113,0.38365652500717035,0.0,0.0,0.0,0.09448932487016733,0.0,0.0,0.0
0.0,0.0,0.001964409521608505,0.0,0.0,0.0,0.0,0.0,0.0,0.0031603763998130194,0.0,0.005626081938834391,0.0011700899704315101,0.0,0.0
0.0,0.0,0.005084354055927894,0.053816046975000004,0.0,0.0,0.13821989529567721,0.3904789202892102,0.0037105751391465678,0.009257565595593764,0.00599757895895235,0.0,0.012981673861138783,0.0,0.0
0.0,0.0,0.0010399815114397967,0.0072142064375,0.019658976930792375,0.023529411764705882,0.400984962591329,0.036351856654185784,0.0037105751391465678,0.04532243968863687,0.002366017387476615,0.0029572994806693594,0.0,0.0,0.0
0.0,0.0,0.046452507510977584,0.3455708525,0.014877967235038448,0.0,0.1476870114092949,0.20843954258713288,0.0055658627087198514,0.07012783773347153,0.015791790469902058,0.003462204270051933,0.0,0.0,0.0
0.0,0.0,0.04102149295123642,0.165474060825,0.05804078903376797,0.0,0.2676038155458348,0.2653306121617067,0.0074211502782931356,0.26334776334776333,0.14251127985033565,0.0,0.014958177189570387,0.0,0.0
0.0,0.0,0.038594869424543564,0.17449061127499998,0.05432965563356736,0.0,0.5864195301409518,0.07413689592877531,0.011131725417439703,0.23804442818527324,0.08798283261802575,0.008006347374495095,0.0,0.0,0.0
0.0,0.0,0.03258608735844696,0.12554529775,0.017285188900033433,0.011764705882352941,0.9193952586063188,0.05268989246594156,0.02411873840445269,0.369225453732496,0.16952789699570817,0.02805828043854587,0.00150214252960802,0.0,0.0
0.0,0.0,0.22417379246591174,0.116492864975,0.0028752925442995653,0.0,0.2106207928271202,0.0,0.02411873840445269,0.34009105135865697,0.1628700341146693,0.03231390652048471,0.004569675695333871,0.0,0.0967032967032967
0.0,0.0,0.1269932978969263,0.064722193425,0.03784687395519893,0.011764705882352941,0.5087480692500522,0.1778424718015922,0.02411873840445269,0.3649370973314635,0.1465280070430285,0.042989036353144834,0.0016286387426276425,0.0,0.0
0.0,0.0,0.22660041599260458,0.1502249108,0.07442326980942827,0.0,0.317508873036929,0.4526528059221683,0.025974025974025976,0.6051765136272178,0.26978100583250797,0.5494806693594921,0.6364656958082318,0.0,0.0
0.0,0.0,0.08111855789230414,0.108012192,0.034971581410899365,0.0,0.35581700877379785,0.28995139542191245,0.027829313543599257,0.44000365831351745,0.1981952239462969,0.7774812463935372,0.343168413895609,0.0,0.0
0.0,0.0,0.09879824358678069,0.21040225395,0.020160481444333,0.0,0.29749200933738174,0.1902344048551678,0.029684601113172542,0.31723675385647215,0.2538791680422582,0.00930467397576457,0.00012649621301962272,0.0,0.0
0.0,0.0,0.0684076727524844,0.07833218365,0.21043129388164492,0.0,0.5052175482585811,0.32131797177900007,0.03153988868274583,0.5897506249618926,0.39523495102894246,0.02531736872475476,1.581202662745284e-05,0.0,0.0
0.0,0.0,0.03466605038132656,0.04214608215,0.011902373788030758,0.0,0.26125855048160607,0.35540533856396894,0.03339517625231911,0.2420482490905026,0.19957081545064378,0.005193306405077899,0.0,0.0,0.0
